lin_x,lin_y,lin_x,ang_x,ang_y,ang_z
-0.0000175335,0,0,0,0,-0.0376632
-0.000103825,0,0,0,0,-0.129568
-0.00033171,0,0,0,0,-0.238971
-0.000805454,0,0,0,0,-0.349286
-0.00164925,0,0,0,0,-0.45958
-0.00298113,0,0,0,0,-0.569844
-0.00491892,0,0,0,0,-0.680059
-0.00758002,0,0,0,0,-0.790198
-0.00962757,0,0,0,0,-0.897338
-0.00524016,0,0,0,0,-0.974124
-0.000165634,0,0,0,0,-0.999408
-0.0000000327958,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327935,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327935,0,0,0,0,-0.999999
-0.0000000327935,0,0,0,0,-0.999999
-0.0000000327935,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327934,0,0,0,0,-0.999999
-0.0000000327935,0,0,0,0,-0.999999
0.00405901,0,0,0,0,-0.99157
0.0481306,0,0,0,0,-0.94241
0.119257,0,0,0,0,-0.908102
0.150449,0,0,0,0,-0.957262
0.154587,0,0,0,0,-0.991686
0.183465,0,0,0,0,-0.970782
0.210668,0,0,0,0,-0.979095
0.199158,0,0,0,0,-0.999999
0.184105,0,0,0,0,-0.999999
0.178316,0,0,0,0,-0.999999
0.173684,0,0,0,0,-1
0.173684,0,0,0,0,-0.999999
0.175964,0,0,0,0,-0.99574
0.192282,0,0,0,0,-0.991993
0.206213,0,0,0,0,-0.996252
0.201474,0,0,0,0,-0.999999
0.196842,0,0,0,0,-0.999999
0.196842,0,0,0,0,-0.999999
0.198197,0,0,0,0,-0.988042
0.209545,0,0,0,0,-0.911944
0.218611,0,0,0,0,-0.841851
0.212956,0,0,0,0,-0.795845
0.208324,0,0,0,0,-0.749691
0.208421,0,0,0,0,-0.743589
0.202632,0,0,0,0,-0.743589
0.208421,0,0,0,0,-0.743589
0.22,0,0,0,0,-0.743589
0.21421,0,0,0,0,-0.717948
0.208421,0,0,0,0,-0.692307
0.202632,0,0,0,0,-0.666666
0.198427,0,0,0,0,-0.631383
0.209214,0,0,0,0,-0.582929
0.217221,0,0,0,0,-0.530216
0.206819,0,0,0,0,-0.477478
0.196938,0,0,0,0,-0.424408
0.200425,0,0,0,0,-0.348449
0.205114,0,0,0,0,-0.217697
0.212683,0,0,0,0,-0.113288
0.219862,0,0,0,0,-0.0774148
0.219897,0,0,0,0,-0.0630848
0.219897,0,0,0,0,-0.0374439
0.219408,0,0,0,0,-0.00800058
0.219395,0,0,0,0,0.0432342
0.219987,0,0,0,0,0.0768757
0.219691,0,0,0,0,0.0438416
0.219691,0,0,0,0,0.00538021
0.218533,0,0,0,0,0.0398089
0.217587,0,0,0,0,0.125258
0.213264,0,0,0,0,0.175193
0.208421,0,0,0,0,0.179487
0.212538,0,0,0,0,0.160809
0.218221,0,0,0,0,0.115922
0.219893,0,0,0,0,0.0833177
0.219391,0,0,0,0,0.0475309
0.219287,0,0,0,0,-0.00677535
0.21989,0,0,0,0,-0.0542873
0.219995,0,0,0,0,-0.0769038
0.22,0,0,0,0,-0.0769228
0.22,0,0,0,0,-0.0769228
0.217684,0,0,0,0,-0.0769228
0.211895,0,0,0,0,-0.0769228
0.210737,0,0,0,0,-0.0769228
0.216225,0,0,0,0,-0.0669195
0.219699,0,0,0,0,-0.0284583
0.215368,0,0,0,0,-0.000000139553
0.209579,0,0,0,0,-2.214E-10
0.212777,0,0,0,0,-0.00927375
0.218567,0,0,0,0,-0.0220942
0.21989,0,0,0,0,-0.0440312
0.21989,0,0,0,0,-0.0696722
0.218637,0,0,0,0,-0.0320541
0.218637,0,0,0,0,0.0448685
