lin_x,lin_y,lin_x,ang_x,ang_y,ang_z
-0.000010987,0,0,0,0,-0.0258069
-0.0000777718,0,0,0,0,-0.106774
-0.00026983,0,0,0,0,-0.217002
-0.000684881,0,0,0,0,-0.327224
-0.00144521,0,0,0,0,-0.437524
-0.00267005,0,0,0,0,-0.547795
-0.00447725,0,0,0,0,-0.658021
-0.00576596,0,0,0,0,-0.765747
-0.0029954,0,0,0,0,-0.837186
-0.000000030728,0,0,0,0,-0.855999
-0.0000000241412,0,0,0,0,-0.855999
-0.000000024141,0,0,0,0,-0.855999
-0.000000024141,0,0,0,0,-0.855999
-0.000000024141,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.000000024141,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.000000024141,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.000000024141,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
-0.0000000241409,0,0,0,0,-0.855999
0.025346,0,0,0,0,-0.823337
0.096174,0,0,0,0,-0.767805
0.166544,0,0,0,0,-0.766025
0.191821,0,0,0,0,-0.821556
0.188737,0,0,0,0,-0.855999
0.184105,0,0,0,0,-0.855999
0.177158,0,0,0,0,-0.855999
0.169777,0,0,0,0,-0.850321
0.185115,0,0,0,0,-0.843077
0.199444,0,0,0,0,-0.848756
0.196842,0,0,0,0,-0.855999
0.196842,0,0,0,0,-0.855999
0.193368,0,0,0,0,-0.855999
0.187579,0,0,0,0,-0.855999
0.196995,0,0,0,0,-0.848282
0.208574,0,0,0,0,-0.848282
0.202632,0,0,0,0,-0.856
0.196842,0,0,0,0,-0.856
0.191053,0,0,0,0,-0.855999
0.200586,0,0,0,0,-0.848699
0.212164,0,0,0,0,-0.848699
0.208421,0,0,0,0,-0.855999
0.208421,0,0,0,0,-0.855999
0.208421,0,0,0,0,-0.855999
